,Food_Name,Price,discount,description
0,Black Forest Feast  - pack of 3,120,20% OFF,"Black Forest cake meets Feast!
Cake pieces through layers of Feast with a solid chocolate surprise at the end."
1,Cassatta Cake,399,20% OFF,"[1000ml] A perfect cake for celebration! 
Creamy rainbow trio between crunchy cashew nuts, tutti frutti and soft cake."
2,Cornetto Kulfi Ice Cream Cone,60,discount is NA,"[105ml] Rabri kulfi, crunchy almonds and  rose sauce swirl loaded in  a crunchy pista waffle cone. An icecream lover's delight!"
3,Trixy blueberry cheesecake Sundae,70,20% OFF,"Parlour like fun in a cup!
3 delicious layers - blueberry sauce, creamy cheesecake dessert  and crunchy cinnamon cookies."
4,Cornetto Black Forest [110ml],65,20% OFF,Black Forest cake meets Feast!                                                                                                                                                                                                                                                                                                            Cake pieces through layers of Feast with a solid chocolate surprise at the end.
5,Alphonso Mango,170,20% OFF,(700ml Tub) Enjoy the delight of real  alphonso mango in a delicious creamy tub.  A fruit lover's ultimate delight!
6,Crunchilicious Butterscotch,180,20% OFF,(700ml Tub) Creamy butterscotch tub loaded with chunks of caramel coated cashew nuts.
7,Vanilla,150,20% OFF,(700ml Tub) Rich creamy vanilla dessert thats more vanilla-tasting than any vanilla you have ever tasted in all of vanillas entirety.
8,Choco Brownie Fudge,319,20% OFF,"(700ml Tub) Rich chocolate tub  full of chunky brownie pieces and chocolate fudge.  
A tub that will make a dark chocolate lover Rock N Roll."
9,Darkly Divine Chocolate Sensation,259,20% OFF,(700ml Tub) A real chocolate indulgence made with rich cocoa. Loaded with choco chips & rich chocolate sauce in every creamy scoop.
10,Kulfi  Ice Cream,265,20% OFF,(700ml Tub) Rich & creamy desi kulfi icecream loaded with almonds and a twist of rose sauce. A perfect companion for hosting!
11,Oreo & Cream,299,20% OFF,"(700ml Tub) The Original Oreo Tub!
Crunchy Oreo cookie chunks in rich creamy vanilla."
12,Tender Coconut,229,20% OFF,(500ml Tub) Feel naturally refreshed with every bite. Creamy tub loaded with chunks of coconut in every scoop.
13,Creme Caramel ,239,20% OFF,"(700ml Tub) Luxurious creme caramel, beautiful golden syrup and  chunks of choco cookies  in a creamy tub."
14,Nice Fruit and Nut,259,20% OFF,"(700ml Tub) A dry fruit lover's paradise! Crunchy cashew nuts, almond and delicious raisins in every bite of creamy scoop."
15,Kulfi Cup Icecream,50,20% OFF,"Your favourite Desi Matka Kulfi in a cup!
Rich creamy kulfi loaded with almonds - a desi delight for an  icecream lover."
16,Oreo and Cream Cup,60,20% OFF,Crunchy Oreo cookie chunks with rich and creamy vanilla in a cup.
17,Tender Coconut Cup,50,20% OFF,Feel naturally refreshed with every bite. Creamy cup loaded with chunks of coconut.
18,Trixy Cookie Sundae,60,20% OFF,"Parlour like fun in a cup. 
3 delicious layers - silky chocolate disc, delicious cookies & cream and crunchy choco cookies."
19,Cornetto Butterscotch,40,20% OFF,Creamy butterscotch loaded with chunks of caramel cashew topping in a crunchy waffle cone
20,Cornetto Choco Vanilla x 4,140,discount is NA,A yummilicious duo of rich and creamy vanilla  topped with chocolate sauce and chocochips in a crunchy waffle cone
21,Cornetto Chokissimo,70,20% OFF,"Disc as soft as a kiss!
Crunchy waffle cone filled with creamy chocolate and brownie pieces with a soft chocolate disc and almond sprinkles on top."
22,Cornetto Double Chocolate,40,20% OFF,"A yummilicious duo of milk and dark chocolate topped with chocolate sauce, chocochips in a crunchy waffle cone."
23,Cornetto Oreo,70,20% OFF,"Oreo cookie chunks in creamy vanilla, delicious chocolate disc and crunchy waffle cone.  An all time favourite for cone lovers!"
24,Magnum Almond  Ice Cream,90,discount is NA,"Expertly crafted icecream with Madagascar vanilla, crunchy Australian almonds and Belgian chocolate."
25,Magnum Chocolate Truffle Ice Cream,90,discount is NA,Rich chocolate icecream with truffle sauce wrapped in thick Belgian chocolate.
26,Blackcurrent & Raisins,180,20% OFF,(700ml) Creamy dessert blended with delicious black currant and raisins. A refreshing summer treat!
27,Blushing Strawberry,120,20% OFF,"(700ml) A fruit lover's delight.
A scoop that tastes like fresh strawberries."
28,Chocolate,145,20% OFF,(700ml) Finest chocolate scoop made with rich cocoa. So rich & chocolatey that will make you go Choco Doodle Do.
29,Majestic Kesar Pista,185,20% OFF,"(700ml) Royal delight in every bite!
A rich and creamy scoop loaded with rich flavorful kesar and pieces of pista."
30,Tutti Frutti,150,20% OFF,(700ml) Rich creamy scoop loaded with tiny bites of tutti fruitty.
31,Aamras Sorbet Stick [60ml x 2],60,20% OFF,"Aamras All Year Round!
Delicious mango stick made with pulp of real alphonso mangoes."
32,Sandwich Chocolate and Vanilla [90ml x 2],60,20% OFF,Looking for a sweet snack? A hearty delicious sandwich filled creamy vanilla and yummy chocolate between two crunchy biscuits.
33,Butterscotch Party Pack [700ml x 2],300,20% OFF,Creamy butterscotch tub loaded with chunks of caramel coated cashew nuts.
34,Vanilla Party Pack [700ml x 2],250,20% OFF,Rich creamy vanilla dessert thats more vanilla-tasting than any vanilla you have ever tasted in all of vanillas entirety.
35,Mango Party Pack [700ml x 2],300,20% OFF,Enjoy the delight of real alphonso mango in a delicious creamy Party Pack. A fruit lover's ultimate delight!
36,Oreo Party Pack [700ml x 2],350,20% OFF,The Original Oreo Party Pack!                                                                                                                                                                                                                                                                                                                Crunchy Oreo cookie chunks in rich creamy vanilla
